keyword,date,region,interest_value,is_anomaly,anomaly_score
وظائف توصيل,2025-04-01,SA,72,False,0.09914964692418038
وظائف توصيل,2025-05-01,SA,78,False,0.1430368789745377
وظائف توصيل,2025-06-01,SA,65,False,0.06559096906978845
وظائف توصيل,2025-07-01,SA,81,False,0.11699921272957403
وظائف توصيل,2025-08-01,SA,74,False,0.13540338829865106
وظائف توصيل,2025-09-01,SA,69,False,0.09679562182932139
وظائف توصيل,2025-10-01,SA,77,False,0.10469072969416049
وظائف توصيل,2025-11-01,SA,83,False,0.13359565150214775
وظائف توصيل,2025-12-01,SA,88,False,0.14337564344170328
وظائف توصيل,2026-01-01,SA,79,False,0.11924102584224283
وظائف توصيل,2026-02-01,SA,85,False,0.13743833489404234
وظائف توصيل,2026-03-01,SA,91,False,0.10183862752019623
تسجيل كريم كابتن,2025-04-01,SA,55,False,0.04976978731407733
تسجيل كريم كابتن,2025-05-01,SA,61,False,0.0555012267762629
تسجيل كريم كابتن,2025-06-01,SA,48,True,-0.0595107340133052
تسجيل كريم كابتن,2025-07-01,SA,58,False,0.07726996910123507
تسجيل كريم كابتن,2025-08-01,SA,52,True,-0.008488189721769568
تسجيل كريم كابتن,2025-09-01,SA,45,True,-0.11354489580932048
تسجيل كريم كابتن,2025-10-01,SA,59,False,0.0715707069028409
تسجيل كريم كابتن,2025-11-01,SA,63,False,0.06916057366891581
تسجيل كريم كابتن,2025-12-01,SA,67,False,0.07146655532928314
تسجيل كريم كابتن,2026-01-01,SA,56,False,0.05893365587060628
تسجيل كريم كابتن,2026-02-01,SA,70,False,0.10271036694221441
تسجيل كريم كابتن,2026-03-01,SA,74,False,0.13540338829865106
سائق أوبر,2025-04-01,SA,82,False,0.12832572939489773
سائق أوبر,2025-05-01,SA,87,False,0.13079987668727894
سائق أوبر,2025-06-01,SA,75,False,0.11947689724505772
سائق أوبر,2025-07-01,SA,90,False,0.10100647809757335
سائق أوبر,2025-08-01,SA,84,False,0.14394736774388184
سائق أوبر,2025-09-01,SA,78,False,0.1430368789745377
سائق أوبر,2025-10-01,SA,88,False,0.14337564344170328
سائق أوبر,2025-11-01,SA,92,False,0.09042152219322802
سائق أوبر,2025-12-01,SA,95,False,0.008488189721769568
سائق أوبر,2026-01-01,SA,86,False,0.14028692669261705
سائق أوبر,2026-02-01,SA,93,False,0.06487082758205198
سائق أوبر,2026-03-01,SA,100,True,-0.13581091719254745
