source,date,details
reviews,2025-04-13 00:00:00,"{'app': 'HungerStation', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-04-13 00:00:00,"{'app': 'Jeeny', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-04-20 00:00:00,"{'app': 'HungerStation', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-04-20 00:00:00,"{'app': 'ToYou', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-04-27 00:00:00,"{'app': 'HungerStation', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-04-27 00:00:00,"{'app': 'TheChefs', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-05-04 00:00:00,"{'app': 'Bolt', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-05-04 00:00:00,"{'app': 'HungerStation', 'value': 10.0, 'score': -0.2808712999891445}"
reviews,2025-05-04 00:00:00,"{'app': 'Keeta', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-05-11 00:00:00,"{'app': 'Bolt', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-05-11 00:00:00,"{'app': 'HungerStation', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-05-11 00:00:00,"{'app': 'TheChefs', 'value': 9.0, 'score': -0.2443674519689174}"
reviews,2025-05-25 00:00:00,"{'app': 'Jeeny', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-06-08 00:00:00,"{'app': 'ToYou', 'value': 9.0, 'score': -0.2443674519689174}"
reviews,2025-06-15 00:00:00,"{'app': 'Bolt', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-06-22 00:00:00,"{'app': 'Bolt', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-06-22 00:00:00,"{'app': 'HungerStation', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-06-29 00:00:00,"{'app': 'HungerStation', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-07-06 00:00:00,"{'app': 'Jeeny', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-07-06 00:00:00,"{'app': 'TheChefs', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-07-13 00:00:00,"{'app': 'Kayan', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-07-13 00:00:00,"{'app': 'Keeta', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-07-20 00:00:00,"{'app': 'Bolt', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-07-20 00:00:00,"{'app': 'HungerStation', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-07-20 00:00:00,"{'app': 'Sary', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-08-03 00:00:00,"{'app': 'HungerStation', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-08-03 00:00:00,"{'app': 'Kayan', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-08-03 00:00:00,"{'app': 'TheChefs', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-08-10 00:00:00,"{'app': 'Careem', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-08-10 00:00:00,"{'app': 'Keeta', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-08-10 00:00:00,"{'app': 'Mostaql', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-08-17 00:00:00,"{'app': 'Jeeny', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-08-24 00:00:00,"{'app': 'Keeta', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-08-31 00:00:00,"{'app': 'ToYou', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-09-07 00:00:00,"{'app': 'ToYou', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-09-14 00:00:00,"{'app': 'Wasselni', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-09-28 00:00:00,"{'app': 'Careem', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-09-28 00:00:00,"{'app': 'Mostaql', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-10-05 00:00:00,"{'app': 'Bolt', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-10-26 00:00:00,"{'app': 'TheChefs', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-11-02 00:00:00,"{'app': 'Bolt', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-11-02 00:00:00,"{'app': 'Careem', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-11-02 00:00:00,"{'app': 'Khamsat', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-11-02 00:00:00,"{'app': 'ToYou', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-11-02 00:00:00,"{'app': 'Uber', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-11-09 00:00:00,"{'app': 'Bolt', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-11-09 00:00:00,"{'app': 'TheChefs', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-11-16 00:00:00,"{'app': 'Sary', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-11-16 00:00:00,"{'app': 'Uber', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-11-23 00:00:00,"{'app': 'Keeta', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-12-07 00:00:00,"{'app': 'Careem', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2025-12-14 00:00:00,"{'app': 'Sary', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-12-21 00:00:00,"{'app': 'ToYou', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2025-12-28 00:00:00,"{'app': 'Jeeny', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2025-12-28 00:00:00,"{'app': 'Khamsat', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-01-18 00:00:00,"{'app': 'Keeta', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-01-18 00:00:00,"{'app': 'ToYou', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-01-25 00:00:00,"{'app': 'HungerStation', 'value': 9.0, 'score': -0.2443674519689174}"
reviews,2026-01-25 00:00:00,"{'app': 'Jeeny', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2026-02-01 00:00:00,"{'app': 'Wasselni', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-02-08 00:00:00,"{'app': 'HungerStation', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-02-08 00:00:00,"{'app': 'Sary', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-02-08 00:00:00,"{'app': 'TheChefs', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-02-08 00:00:00,"{'app': 'ToYou', 'value': 8.0, 'score': -0.19060692498473042}"
reviews,2026-02-08 00:00:00,"{'app': 'Uber', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-02-15 00:00:00,"{'app': 'Bolt', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-02-15 00:00:00,"{'app': 'Sary', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-02-15 00:00:00,"{'app': 'Wasselni', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-02-22 00:00:00,"{'app': 'Jeeny', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-02-22 00:00:00,"{'app': 'Khamsat', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-03-01 00:00:00,"{'app': 'Jeeny', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-03-01 00:00:00,"{'app': 'Uber', 'value': 6.0, 'score': -0.035012579097354224}"
reviews,2026-03-08 00:00:00,"{'app': 'Bolt', 'value': 7.0, 'score': -0.10240785862386281}"
reviews,2026-03-08 00:00:00,"{'app': 'Careem', 'value': 7.0, 'score': -0.10240785862386281}"
trends,2025-06-01,{'score': -0.0595107340133052}
trends,2025-08-01,{'score': -0.008488189721769568}
trends,2025-09-01,{'score': -0.11354489580932048}
trends,2026-03-01,{'score': -0.13581091719254745}
