date,city,sector,index_value,reviews_component,trends_component,sentiment_component,social_component,spatial_component,confidence_lower,confidence_upper,estimated_workers,data_scope
2025-04-30,الكل,الكل,73.1,72.68,75.69,80.71,72.16,72.63,69.5,76.7,258550,national
2025-04-30,الرياض,الكل,70.77,72.68,75.69,80.71,72.16,94.03,69.5,76.7,252640,spatial_only
2025-04-30,جدة,الكل,61.41,72.68,75.69,80.71,72.16,86.39,69.5,76.7,228836,spatial_only
2025-04-30,الدمام,الكل,56.38,72.68,75.69,80.71,72.16,77.47,69.5,76.7,216041,spatial_only
2025-04-30,مكة المكرمة,الكل,45.22,72.68,75.69,80.71,72.16,57.37,69.5,76.7,187655,spatial_only
2025-04-30,المدينة المنورة,الكل,37.34,72.68,75.69,80.71,72.16,54.68,69.5,76.7,167613,spatial_only
2025-04-30,الخبر,الكل,49.14,72.68,75.69,80.71,72.16,70.63,69.5,76.7,197631,spatial_only
2025-04-30,أبها,الكل,20.11,72.68,75.69,80.71,72.16,27.18,69.5,76.7,123808,spatial_only
2025-04-30,تبوك,الكل,21.21,72.68,75.69,80.71,72.16,24.55,69.5,76.7,126587,spatial_only
2025-04-30,الطائف,الكل,25.72,72.68,75.69,80.71,72.16,32.15,69.5,76.7,138065,spatial_only
2025-04-30,بريدة,الكل,19.38,72.68,75.69,80.71,72.16,28.22,69.5,76.7,121940,spatial_only
2025-04-30,حائل,الكل,13.78,72.68,75.69,80.71,72.16,22.75,69.5,76.7,107701,spatial_only
2025-04-30,نجران,الكل,11.96,72.68,75.69,80.71,72.16,17.42,69.5,76.7,103065,spatial_only
2025-04-30,جازان,الكل,13.42,72.68,75.69,80.71,72.16,23.7,69.5,76.7,106777,spatial_only
2025-05-31,الكل,الكل,65.28,62.11,68.57,59.18,66.12,61.36,60.96,69.6,238683,national
2025-05-31,الرياض,الكل,57.73,62.11,68.57,59.18,66.12,92.89,60.96,69.6,219476,spatial_only
2025-05-31,جدة,الكل,57.16,62.11,68.57,59.18,66.12,85.64,60.96,69.6,218033,spatial_only
2025-05-31,الدمام,الكل,50.95,62.11,68.57,59.18,66.12,77.8,60.96,69.6,202234,spatial_only
2025-05-31,مكة المكرمة,الكل,37.0,62.11,68.57,59.18,66.12,59.76,60.96,69.6,166746,spatial_only
2025-05-31,المدينة المنورة,الكل,35.51,62.11,68.57,59.18,66.12,57.91,60.96,69.6,162958,spatial_only
2025-05-31,الخبر,الكل,46.39,62.11,68.57,59.18,66.12,66.47,60.96,69.6,190623,spatial_only
2025-05-31,أبها,الكل,20.23,62.11,68.57,59.18,66.12,29.23,60.96,69.6,124115,spatial_only
2025-05-31,تبوك,الكل,14.97,62.11,68.57,59.18,66.12,26.22,60.96,69.6,110722,spatial_only
2025-05-31,الطائف,الكل,24.91,62.11,68.57,59.18,66.12,36.86,60.96,69.6,136012,spatial_only
