date,estimated_workers,official_formal_workers,gap,gap_percentage,interpretation
2024-11-01,224615,178500,46115,25.8,فائض رقمي
2024-11-01,224233,178500,45733,25.6,فائض رقمي
2024-11-01,225562,178500,47062,26.4,فائض رقمي
2024-11-01,225058,178500,46558,26.1,فائض رقمي
2024-11-01,224750,178500,46250,25.9,فائض رقمي
2024-11-01,223728,178500,45228,25.3,فائض رقمي
2024-11-01,223728,178500,45228,25.3,فائض رقمي
2024-11-01,223502,178500,45002,25.2,فائض رقمي
2024-11-01,225367,178500,46867,26.3,فائض رقمي
2024-11-01,224755,178500,46255,25.9,فائض رقمي
2024-11-01,225003,178500,46503,26.1,فائض رقمي
2024-11-01,223416,178500,44916,25.2,فائض رقمي
2024-11-01,225607,178500,47107,26.4,فائض رقمي
2024-11-01,225289,178500,46789,26.2,فائض رقمي
2025-04-01,197818,178500,19318,10.8,فائض رقمي
2025-04-01,197435,178500,18935,10.6,فائض رقمي
2025-04-01,198765,178500,20265,11.4,فائض رقمي
2025-04-01,198260,178500,19760,11.1,فائض رقمي
2025-04-01,197952,178500,19452,10.9,فائض رقمي
2025-04-01,196931,178500,18431,10.3,فائض رقمي
2025-04-01,196931,178500,18431,10.3,فائض رقمي
2025-04-01,196705,178500,18205,10.2,فائض رقمي
2025-04-01,198570,178500,20070,11.2,فائض رقمي
2025-04-01,197958,178500,19458,10.9,فائض رقمي
2025-04-01,198205,178500,19705,11.0,فائض رقمي
2025-04-01,196618,178500,18118,10.2,فائض رقمي
2025-04-01,198809,178500,20309,11.4,فائض رقمي
2025-04-01,198492,178500,19992,11.2,فائض رقمي
2025-04-30,198571,178500,20071,11.2,فائض رقمي
2025-04-30,198189,178500,19689,11.0,فائض رقمي
2025-04-30,199518,178500,21018,11.8,فائض رقمي
2025-04-30,199014,178500,20514,11.5,فائض رقمي
2025-04-30,198706,178500,20206,11.3,فائض رقمي
2025-04-30,197684,178500,19184,10.7,فائض رقمي
2025-04-30,197684,178500,19184,10.7,فائض رقمي
2025-04-30,197458,178500,18958,10.6,فائض رقمي
2025-04-30,199323,178500,20823,11.7,فائض رقمي
2025-04-30,198711,178500,20211,11.3,فائض رقمي
2025-04-30,198959,178500,20459,11.5,فائض رقمي
2025-04-30,197372,178500,18872,10.6,فائض رقمي
2025-04-30,199563,178500,21063,11.8,فائض رقمي
2025-04-30,199245,178500,20745,11.6,فائض رقمي
2025-05-01,198283,178500,19783,11.1,فائض رقمي
2025-05-01,197900,178500,19400,10.9,فائض رقمي
2025-05-01,199230,178500,20730,11.6,فائض رقمي
2025-05-01,198725,178500,20225,11.3,فائض رقمي
2025-05-01,198417,178500,19917,11.2,فائض رقمي
2025-05-01,197396,178500,18896,10.6,فائض رقمي
2025-05-01,197396,178500,18896,10.6,فائض رقمي
2025-05-01,197170,178500,18670,10.5,فائض رقمي
2025-05-01,199035,178500,20535,11.5,فائض رقمي
2025-05-01,198423,178500,19923,11.2,فائض رقمي
2025-05-01,198670,178500,20170,11.3,فائض رقمي
2025-05-01,197083,178500,18583,10.4,فائض رقمي
2025-05-01,199274,178500,20774,11.6,فائض رقمي
2025-05-01,198957,178500,20457,11.5,فائض رقمي
2025-05-31,199654,178500,21154,11.9,فائض رقمي
