date,app_name,sector,daily_count
2026-02-21,Careem,نقل,4
2026-02-22,Careem,نقل,5
2026-02-23,Careem,نقل,6
2026-02-24,Careem,نقل,13
2026-02-25,Careem,نقل,8
2026-02-26,Careem,نقل,5
2026-02-27,Careem,نقل,4
2026-02-28,Careem,نقل,6
2026-03-01,Careem,نقل,4
2026-03-02,Careem,نقل,8
2026-03-03,Careem,نقل,2
2026-03-04,Careem,نقل,2
2026-03-05,Careem,نقل,4
2026-03-06,Careem,نقل,2
2026-03-07,Careem,نقل,3
2026-03-08,Careem,نقل,3
2026-03-09,Careem,نقل,5
2026-03-10,Careem,نقل,12
2026-03-11,Careem,نقل,4
2026-03-12,Careem,نقل,6
2026-03-13,Careem,نقل,3
2026-03-14,Careem,نقل,7
2026-03-15,Careem,نقل,2
2026-03-17,Careem,نقل,2
2026-03-18,Careem,نقل,3
2026-03-19,Careem,نقل,3
2026-03-20,Careem,نقل,6
2026-03-21,Careem,نقل,7
2026-03-22,Careem,نقل,5
2026-03-23,Careem,نقل,6
2026-03-24,Careem,نقل,6
2026-03-25,Careem,نقل,9
2026-03-27,Careem,نقل,3
2026-03-28,Careem,نقل,8
2026-03-29,Careem,نقل,8
2026-03-29,Uber,نقل,7
2026-03-30,Careem,نقل,4
2026-03-30,Uber,نقل,57
2026-03-31,Careem,نقل,8
2026-03-31,Uber,نقل,54
2026-04-01,Careem,نقل,2
2026-04-01,Uber,نقل,49
2026-04-02,Careem,نقل,2
2026-04-02,Uber,نقل,33
