city,city_ar,latitude,longitude,activity_score,date,cluster_label
Riyadh,الرياض,23.333333,45.333333,48.09,2026-04-03,
Jeddah,جدة,21.5504432,39.1742363,91.3,2026-04-03,
Mecca,مكة المكرمة,21.420847,39.826869,74.9,2026-04-03,
Medina,المدينة المنورة,24.471153,39.6111216,64.9,2026-04-03,
Dammam,الدمام,26.4367824,50.1039991,31.7,2026-04-03,
Khobar,الخبر,26.3039999,50.1960237,31.7,2026-04-03,
Abha,أبها,18.2164282,42.5043596,24.36,2026-04-03,
Tabuk,تبوك,28.3251866,37.6328648,84.96,2026-04-03,
Taif,الطائف,21.2702801,40.4158308,65.08,2026-04-03,
Buraidah,بريدة,26.331667,43.971667,73.11,2026-04-03,
Hail,حائل,26.9920987,41.4892578,21.54,2026-04-03,
Najran,نجران,18.0,45.666667,92.74,2026-04-03,
Jazan,جازان,17.333333,42.666667,82.43,2026-04-03,
