metric_name,value,unit,date,source,notes
إجمالي القوى العاملة,15890000,شخص,2025-03-01,GASTAT,بيانات مسح القوى العاملة الربع الأول 2025
القوى العاملة السعودية,8450000,شخص,2025-03-01,GASTAT,مواطنون سعوديون
معدل البطالة الإجمالي,4.9,نسبة مئوية,2025-03-01,GASTAT,جميع الجنسيات
معدل بطالة السعوديين,11.7,نسبة مئوية,2025-03-01,GASTAT,مواطنون فقط
المشتغلون في النقل والتخزين,980000,شخص,2025-03-01,GASTAT,قطاع النقل
المشتغلون في الإقامة والطعام,720000,شخص,2025-03-01,GASTAT,قطاع الضيافة
المشتركون في التأمينات الاجتماعية,11200000,شخص,2025-03-01,GOSI,إجمالي المشتركين
إجمالي القوى العاملة,15950000,شخص,2025-06-01,GASTAT,بيانات الربع الثاني 2025
المشتغلون في النقل والتخزين,995000,شخص,2025-06-01,GASTAT,نمو في قطاع النقل
المشتغلون في الإقامة والطعام,735000,شخص,2025-06-01,GASTAT,نمو في التوصيل
إجمالي القوى العاملة,16200000,شخص,2025-12-01,GASTAT,بيانات الربع الرابع 2025
المشتغلون في النقل والتخزين,1025000,شخص,2025-12-01,GASTAT,نمو مستمر
المشتغلون في الإقامة والطعام,760000,شخص,2025-12-01,GASTAT,ارتفاع
المشتغلون المقدرون في اقتصاد المنصات,185000,شخص,2025-12-01,تقدير,تقدير أولي من المرصد
