platform,channel_or_tag,sector,text,date,message_id
telegram,CreemUber,نقل,ودي اشتغل ف بولت بجانب اوبر ممكن؟,2025-04-01,2006478
twitter,Captains_saudi,نقل,وصليني مافيه طلبات كافية في منطقتي,2025-04-01,2006575
telegram,wasselni_drivers,نقل,اوبر زود على نسبة الالغاء وانا ما قدرت اوصل للعميل,2025-04-01,2006584
twitter,bolt_drivers_ksa,نقل,جيني بدأ ينافس لكن ما زال الطلبات أقل,2025-04-01,2006629
twitter,HungerStation_drivers,توصيل,يعطيكم العافيه يا شباب حولت مبلغ من كيتا ولحد الان ما وصلت,2025-04-01,2006710
twitter,keeta_couriers,توصيل,طلب وصل بارد لأن المطعم تأخر وراحت التقييم,2025-04-01,2006712
telegram,thechefs_ksa,توصيل,مانبي نقطع رزق احد بس والله غبنه توقف عند المطاعم وتنتظر,2025-04-01,2006762
telegram,toYou_couriers,توصيل,مرسول فتح تسجيل جديد للموصلين هذا الأسبوع,2025-04-01,2006786
telegram,mrsool_delivery,توصيل,مو محل وموظفين اغبياء هم الغلطانين مو المندوب,2025-04-01,2006823
twitter,keeta_couriers,توصيل,الحين ١٤ طلب في كيتا وما طلعت ٢٠ ريال,2025-04-01,2006944
telegram,HungerStation_drivers,توصيل,المندوب المخالف يأكل حرام رزق شخص نظامي,2025-04-01,2007000
telegram,khamsat_ar,عمل_حر,أكملت مشروع تصميم بـ ٨٠٠ ريال في مستقل,2025-04-01,2007036
telegram,freelancers_ksa,عمل_حر,منصة خمسات أفضل للمبتدئين في العمل الحر,2025-04-01,2007087
telegram,freelancers_ksa,عمل_حر,upwork أو مستقل أيهما أفضل للسعوديين,2025-04-01,2007111
telegram,CreemUber,نقل,نبي نظام تأمين صحي للسائقين مثل الموظفين,2025-04-02,2006479
telegram,bolt_drivers_ksa,نقل,ما يستاهل لا تعب ولا وقت المشوار بعيد والربح ضعيف,2025-04-02,2006485
telegram,CreemUber,نقل,اليوم الأوردرات كانت ممتازة والبخشيش زين الحمد لله,2025-04-02,2006504
telegram,wasselni_drivers,نقل,وصلت واحد المطار وكان مصري وحك الصدام من السيارة,2025-04-02,2006558
telegram,uber_ksa_drivers,نقل,اوبر زود على نسبة الالغاء وانا ما قدرت اوصل للعميل,2025-04-02,2006602
telegram,kayan_ksa,نقل,من حقك ترفض خدمته سيارتك وترفع بلاغ,2025-04-02,2006610
twitter,kayan_ksa,نقل,جيني وصليني الاسعار خايسه جدا يعني الكيلو اقل من ريال,2025-04-02,2006617
twitter,wasselni_drivers,نقل,نبي نظام تأمين صحي للسائقين مثل الموظفين,2025-04-02,2006640
telegram,kayan_ksa,نقل,متوسط دخلي اليوم ١٨٠ ريال بعد البنزين,2025-04-02,2006675
twitter,HungerStation_drivers,توصيل,توصيل في الأمطار خطر بدون مكافأة من التطبيق,2025-04-02,2006745
