keyword,date,region,interest_value
وظائف توصيل,2025-04-01,SA,72
وظائف توصيل,2025-05-01,SA,78
وظائف توصيل,2025-06-01,SA,65
وظائف توصيل,2025-07-01,SA,81
وظائف توصيل,2025-08-01,SA,74
وظائف توصيل,2025-09-01,SA,69
وظائف توصيل,2025-10-01,SA,77
وظائف توصيل,2025-11-01,SA,83
وظائف توصيل,2025-12-01,SA,88
وظائف توصيل,2026-01-01,SA,79
وظائف توصيل,2026-02-01,SA,85
وظائف توصيل,2026-03-01,SA,91
تسجيل كريم كابتن,2025-04-01,SA,55
تسجيل كريم كابتن,2025-05-01,SA,61
تسجيل كريم كابتن,2025-06-01,SA,48
تسجيل كريم كابتن,2025-07-01,SA,58
تسجيل كريم كابتن,2025-08-01,SA,52
تسجيل كريم كابتن,2025-09-01,SA,45
تسجيل كريم كابتن,2025-10-01,SA,59
تسجيل كريم كابتن,2025-11-01,SA,63
تسجيل كريم كابتن,2025-12-01,SA,67
تسجيل كريم كابتن,2026-01-01,SA,56
تسجيل كريم كابتن,2026-02-01,SA,70
تسجيل كريم كابتن,2026-03-01,SA,74
سائق أوبر,2025-04-01,SA,82
سائق أوبر,2025-05-01,SA,87
سائق أوبر,2025-06-01,SA,75
سائق أوبر,2025-07-01,SA,90
سائق أوبر,2025-08-01,SA,84
سائق أوبر,2025-09-01,SA,78
سائق أوبر,2025-10-01,SA,88
سائق أوبر,2025-11-01,SA,92
سائق أوبر,2025-12-01,SA,95
سائق أوبر,2026-01-01,SA,86
سائق أوبر,2026-02-01,SA,93
سائق أوبر,2026-03-01,SA,100
